prefecture_code,prefecture_name,PM25_Mean,HbA1c_Mean,Diabetes_Prescription_Per100k,Aging_Rate,Obesity_Rate,Smoking_Rate,Exercise_Rate,GDP_Per_Capita,PM25_N_Stations,HbA1c_Sample_Size
01,北海道,6.8500000000000005,5.698305803223535,615817.0677669903,32.1,26.4,18.2,24.1,308.5,28,1488552.0
02,青森県,8.120000000000001,5.739763896580873,408230.2152317881,33.9,30.8,20.5,22.3,268.1,5,343070.0
03,岩手県,7.005,5.700833181601322,466310.1051926298,34.4,27.2,19.1,25.8,287.4,10,433879.0
04,宮城県,7.467298850574712,5.832317396870999,580920.4717229286,29.7,27.5,18.9,26.2,305.8,29,832598.0
05,秋田県,7.69375,5.712318198524585,789893.0924548353,38.6,28.9,19.8,23.4,276.3,8,304728.0
06,山形県,7.563636363636364,5.76016904138694,757409.5033428845,34.5,27.1,18.5,27.9,292.7,11,365236.0
07,福島県,7.25909090909091,5.766971296261423,572441.546961326,32.3,28.2,19.3,25.1,281.5,11,610687.0
08,茨城県,7.821052631578947,5.788322512520471,828356.5438596492,30.1,27.8,18.7,25.6,318.9,19,1134542.0
09,栃木県,7.826923076923077,5.742386740998099,653677.2271384695,29.3,27.3,18.4,26.8,325.4,13,729346.0
10,群馬県,8.925,5.770168965162769,471779.5430944964,30.5,27.0,18.1,27.2,312.6,12,739324.0
11,埼玉県,9.571212121212122,5.72049568212695,482028.8237080272,27.6,25.8,17.2,27.5,301.2,66,2845614.0
12,千葉県,8.093382352941177,5.721001207094049,635205.4903962445,28.9,26.2,17.5,26.9,308.7,68,2467082.0
13,東京都,9.036627906976744,5.64514204976958,517999.9559367881,23.5,23.1,15.8,29.3,623.4,86,5991210.0
14,神奈川県,8.378169014084506,5.657246360715384,460348.5926166504,26.2,24.5,16.4,28.7,345.1,71,3601532.0
15,新潟県,7.520588235294117,5.74577655918326,829238.685793614,33.3,26.5,18.3,26.4,298.5,17,791440.0
16,富山県,7.815384615384616,5.774453563733592,770620.751953125,32.9,25.9,17.8,27.8,334.2,13,462268.0
17,石川県,6.321875,5.7922014477165495,496656.1942959002,31.2,25.2,17.4,28.1,326.8,16,509492.0
18,福井県,7.694444444444445,5.718407340243779,579810.8923884514,32.0,25.7,17.9,27.5,319.4,9,304949.0
19,山梨県,7.790909090909091,5.806088081813064,710533.5396039605,31.8,26.8,18.6,26.3,295.7,11,357009.0
20,長野県,7.410833333333334,5.7275364495167365,434260.4279390064,33.5,24.8,16.9,29.8,307.2,15,879024.0
21,岐阜県,6.991374269005848,5.7247131676027,674864.97965412,31.4,26.4,18.2,26.7,304.5,18,846836.0
22,静岡県,7.608397435897436,5.771498401700843,556860.7162687397,31.0,26.1,18.0,27.2,328.9,39,1330164.0
23,愛知県,8.402358757062146,5.732590542152224,473346.8045611244,26.9,25.5,17.6,27.9,389.7,60,2870928.0
24,三重県,8.958333333333332,5.748131475832907,526928.4090909091,30.8,26.9,18.5,26.1,315.3,24,677326.0
25,滋賀県,8.475000000000001,5.69469613847616,704172.3479490806,27.8,25.3,17.3,28.4,331.2,12,545018.0
26,京都府,9.070689655172414,5.690022179901062,694266.9398907104,30.4,24.7,16.8,28.6,318.5,29,861140.0
27,大阪府,9.454025423728812,5.685355307412888,548836.4632988989,28.7,25.9,17.9,26.8,362.4,59,2973200.0
28,兵庫県,8.835180288461538,5.699300454238973,611831.251828708,30.1,25.6,17.5,27.3,316.7,65,2028888.0
29,奈良県,9.04,5.691131025208602,769347.675304878,32.4,25.8,17.7,27.0,289.3,10,453615.0
30,和歌山県,8.557142857142857,5.770680096575215,539254.9234135668,34.2,26.5,18.3,25.9,278.6,14,253067.0
31,鳥取県,8.600000000000001,5.68502993173464,486850.998185118,32.7,26.2,18.1,26.5,284.9,4,142825.0
32,島根県,7.8375,5.763505080376099,671255.8646616541,35.1,25.8,17.8,27.1,291.2,8,263760.0
33,岡山県,11.174074074074074,5.77914822720883,823427.4666666667,31.6,26.3,18.2,26.8,309.4,27,576210.0
34,広島県,9.552,5.71092009324262,636427.8540647482,30.2,25.7,17.9,27.4,334.8,25,885432.0
35,山口県,9.3225,5.741953764658356,870662.3897280965,34.8,26.8,18.6,25.6,295.1,20,351506.0
36,徳島県,8.55,5.74100652789534,667882.6573426573,34.0,26.9,18.7,25.3,281.7,10,225647.0
37,香川県,9.1,5.742995993387689,492493.7050739958,32.2,26.4,18.4,26.2,298.6,12,356910.0
38,愛媛県,10.38529411764706,5.71850969992683,817371.5857359637,33.7,26.6,18.5,25.8,284.3,17,494746.0
39,高知県,8.025,5.781845548102162,931960.1024890192,36.2,27.3,19.1,24.7,272.9,6,192008.0
40,福岡県,10.61375,5.730626751858917,623859.6044278997,29.0,26.5,18.3,26.4,312.5,40,1643968.0
41,佐賀県,10.275,5.836195650262848,379842.7419354839,31.5,27.1,18.8,25.7,279.4,12,227508.0
42,長崎県,9.22222222222222,5.713092124307336,675350.0387897595,33.1,26.8,18.7,25.5,275.8,18,386912.0
43,熊本県,10.560416666666669,5.833489824567303,537426.6608896592,31.9,27.2,18.9,25.4,283.2,24,475852.0
44,大分県,8.920588235294119,5.754607929718176,552315.2504472272,33.4,26.7,18.6,25.9,287.6,17,347629.0
45,宮崎県,10.086666666666666,5.765348730345833,585262.1939736346,32.8,27.4,19.2,24.9,269.5,15,300318.0
46,鹿児島県,10.23181818181818,5.751244071326503,313093.006993007,32.6,27.0,18.8,25.2,276.1,11,526256.0
47,沖縄県,7.75,5.768326442654601,157968.86920980926,22.4,29.1,20.3,23.8,232.7,5,410216.0
